"","sample","target","d0","cy0","eff","group","norm.f","d0.norm"
"1","sat.1","ef1a",3.104245e-06,15.35,2.057172,"sat",1.61153806684415e-06,1.92626228561823
"2","sat.2","ef1a",2.415582e-06,15.76,2.012186,"sat",1.35204235470755e-06,1.7866171067714
"3","sat.3","ef1a",2.25524e-06,15.82,1.997463,"sat",1.27513511141791e-06,1.76862826519791
"4","ab.1","ef1a",2.5306e-06,15.64,2.026799,"ab",1.34315279762361e-06,1.8840745479422
"5","ab.2","ef1a",2.389802e-06,15.73,2.026662,"ab",1.2926842390856e-06,1.84871287801146
"6","ab.3","ef1a",2.779099e-06,15.5,2.040199,"ab",1.48184055312042e-06,1.87543726897462
"7","sat.1","ef1a",3.116089e-06,15.32,2.103664,"sat",1.61153806684415e-06,1.93361178622493
"8","sat.2","ef1a",2.435793e-06,15.7,2.024291,"sat",1.35204235470755e-06,1.80156560297023
"9","sat.3","ef1a",2.551545e-06,15.58,2.065555,"sat",1.27513511141791e-06,2.00099971928682
"10","ab.1","ef1a",2.433269e-06,15.7,2.031596,"ab",1.34315279762361e-06,1.81160997044052
"11","ab.2","ef1a",2.368389e-06,15.74,2.016533,"ab",1.2926842390856e-06,1.83214812124213
"12","ab.3","ef1a",2.769702e-06,15.5,2.026287,"ab",1.48184055312042e-06,1.86909583097023
"13","sat.1","ptc1",8.627422e-09,24.11,1.784439,"sat",1.61153806684415e-06,0.00535353286248765
"14","sat.2","ptc1",7.864038e-09,24.26,1.761488,"sat",1.35204235470755e-06,0.00581641394045012
"15","sat.3","ptc1",7.70232e-09,24.28,1.723423,"sat",1.27513511141791e-06,0.00604039519501215
"16","ab.1","ptc1",1.37876e-08,23.46,1.764016,"ab",1.34315279762361e-06,0.0102651016506788
"17","ab.2","ptc1",1.264053e-08,23.63,1.730643,"ab",1.2926842390856e-06,0.00977851328097066
"18","ab.3","ptc1",1.548491e-08,23.3,1.762571,"ab",1.48184055312042e-06,0.0104497815013851
"19","sat.1","ptc1",9.007823e-09,24.06,1.768402,"sat",1.61153806684415e-06,0.00558958127352205
"20","sat.2","ptc1",8.047569e-09,24.22,1.763508,"sat",1.35204235470755e-06,0.00595215746901709
"21","sat.3","ptc1",7.212699e-09,24.37,1.764009,"sat",1.27513511141791e-06,0.00565641941423739
"22","ab.1","ptc1",1.359017e-08,23.47,1.76994,"ab",1.34315279762361e-06,0.0101181116728079
"23","ab.2","ptc1",1.240155e-08,23.61,1.767692,"ab",1.2926842390856e-06,0.00959364214788633
"24","ab.3","ptc1",1.53686e-08,23.31,1.753082,"ab",1.48184055312042e-06,0.0103712912753246
"25","sat.1","rpl13",8.318954e-07,17.42,1.977884,"sat",1.61153806684415e-06,0.516212069150241
"26","sat.2","rpl13",7.511519e-07,17.58,1.960629,"sat",1.35204235470755e-06,0.555568320315287
"27","sat.3","rpl13",6.777673e-07,17.74,1.949219,"sat",1.27513511141791e-06,0.531525870420387
"28","ab.1","rpl13",7.244205e-07,17.64,1.946172,"ab",1.34315279762361e-06,0.539343328087237
"29","ab.2","rpl13",6.98073e-07,17.69,1.942395,"ab",1.2926842390856e-06,0.54001818765408
"30","ab.3","rpl13",7.902983e-07,17.5,1.951224,"ab",1.48184055312042e-06,0.533322089435204
"31","sat.1","rpl13",8.381615e-07,17.41,1.977656,"sat",1.61153806684415e-06,0.52010034217892
"32","sat.2","rpl13",7.560861e-07,17.57,1.970958,"sat",1.35204235470755e-06,0.55921776220061
"33","sat.3","rpl13",6.778728e-07,17.73,1.943197,"sat",1.27513511141791e-06,0.531608606750879
"34","ab.1","rpl13",7.29621e-07,17.63,1.952822,"ab",1.34315279762361e-06,0.543215188391739
"35","ab.2","rpl13",7.067308e-07,17.67,1.9451,"ab",1.2926842390856e-06,0.546715724251358
"36","ab.3","rpl13",7.926433e-07,17.49,1.964927,"ab",1.48184055312042e-06,0.534904580881441
"37","sat.1","nkx2.2b",2.148055e-09,25.99,1.825338,"sat",1.61153806684415e-06,0.00133292228349684
"38","sat.2","nkx2.2b",1.855643e-09,26.2,1.806858,"sat",1.35204235470755e-06,0.00137247401572814
"39","sat.3","nkx2.2b",1.834233e-09,26.22,1.79748,"sat",1.27513511141791e-06,0.00143846168423705
"40","ab.1","nkx2.2b",7.612765e-09,24.18,1.802317,"ab",1.34315279762361e-06,0.00566783244130451
"41","ab.2","nkx2.2b",5.702936e-09,24.59,1.804721,"ab",1.2926842390856e-06,0.00441170072904583
"42","ab.3","nkx2.2b",9.84151e-09,23.8,1.806457,"ab",1.48184055312042e-06,0.00664140954927709
"43","sat.1","nkx2.2b",2.143459e-09,26,1.817854,"sat",1.61153806684415e-06,0.00133007034962413
