"","sample","target","d0","cy0","eff","group","norm.f","d0.norm"
"1","wt.6","ef1a",2.0444e-07,18.97,1.973525,"wt",1.31631944226316e-07,1.55311844098044
"2","gpr161aab.6","ef1a",1.392721e-07,19.52,1.996214,"gpr161aab",7.79337373848323e-08,1.78705788626923
"3","wt.6","rpl13",8.475332e-08,20.63,1.822164,"wt",1.31631944226316e-07,0.643865898191725
"4","gpr161aab.6","rpl13",4.361008e-08,21.57,1.813258,"gpr161aab",7.79337373848323e-08,0.559578963660577
"5","wt.6","gpr161a",7.911869e-09,24.05,1.757353,"wt",1.31631944226316e-07,0.0601059951404884
"6","gpr161aab.6","gpr161a",8.105535e-10,27.31,1.765853,"gpr161aab",7.79337373848323e-08,0.0104005470185208
"7","wt.6","gpr161b",3.548191e-10,28.43,1.73286,"wt",1.31631944226316e-07,0.00269553946107456
"8","gpr161aab.6","gpr161b",3.637396e-10,28.41,1.752118,"gpr161aab",7.79337373848323e-08,0.00466729316732078
"9","gpr161aab.5","ef1a",1.661797e-07,19.28,1.969973,"gpr161aab",9.79127514320785e-08,1.69722224704591
"10","gpr161aab.5","rpl13",5.769e-08,21.19,1.810626,"gpr161aab",9.79127514320785e-08,0.589198027388896
"11","gpr161aab.5","gpr161a",9.343163e-10,27.12,1.76533,"gpr161aab",9.79127514320785e-08,0.00954233525597664
"12","gpr161aab.5","gpr161b",3.345482e-10,28.47,1.758147,"gpr161aab",9.79127514320785e-08,0.00341679909007637
"13","wt.4","ef1a",3.150488e-07,18.36,1.959202,"wt",1.86816775133498e-07,1.6864053015307
"14","gpr161aab.4","ef1a",9.322241e-08,20.1,1.953139,"gpr161aab",6.04355361008737e-08,1.54250985453991
"15","wt.4","rpl13",1.107781e-07,20.22,1.830736,"wt",1.86816775133498e-07,0.592977262993854
"16","gpr161aab.4","rpl13",3.918e-08,21.73,1.81321,"gpr161aab",6.04355361008737e-08,0.648294075436084
"17","wt.4","gpr161a",1.243792e-08,23.42,1.744808,"wt",1.86816775133498e-07,0.066578175279559
"18","gpr161aab.4","gpr161a",6.020641e-10,27.73,1.790828,"gpr161aab",6.04355361008737e-08,0.0099620875207442
"19","wt.4","gpr161b",7.166073e-10,27.42,1.704719,"wt",1.86816775133498e-07,0.0038358830436288
"20","gpr161aab.4","gpr161b",2.557443e-10,28.92,1.741069,"gpr161aab",6.04355361008737e-08,0.00423168745575672
"21","wt.3","ef1a",2.556729e-07,18.62,1.980987,"wt",1.67022364128281e-07,1.5307704530133
"22","gpr161aab.3","ef1a",1.324798e-07,19.61,1.971101,"gpr161aab",7.93810181686026e-08,1.66891031453662
"23","wt.3","rpl13",1.0911e-07,20.25,1.838892,"wt",1.67022364128281e-07,0.65326581005762
"24","gpr161aab.3","rpl13",4.756458e-08,21.46,1.841669,"gpr161aab",7.93810181686026e-08,0.599193372639469
"25","wt.3","gpr161a",9.994023e-09,23.71,1.770316,"wt",1.67022364128281e-07,0.0598364359896387
"26","gpr161aab.3","gpr161a",8.801304e-10,27.19,1.747679,"gpr161aab",7.93810181686026e-08,0.0110874163660969
"27","wt.3","gpr161b",6.104836e-10,27.64,1.734999,"wt",1.67022364128281e-07,0.00365510093924381
"28","gpr161aab.3","gpr161b",4.473617e-10,28.11,1.77093,"gpr161aab",7.93810181686026e-08,0.00563562562336778
"29","wt.2","ef1a",1.907186e-07,19.04,1.95658,"wt",1.22607668220752e-07,1.55551934693527
"30","gpr161aab.2","ef1a",1.395302e-07,19.54,1.937244,"gpr161aab",8.98631885024009e-08,1.55269585160861
"31","wt.2","rpl13",7.882105e-08,20.73,1.808229,"wt",1.22607668220752e-07,0.64287210697201
"32","gpr161aab.2","rpl13",5.787559e-08,21.2,1.812049,"gpr161aab",8.98631885024009e-08,0.644041135914666
"33","wt.2","gpr161a",6.802576e-09,24.26,1.762204,"wt",1.22607668220752e-07,0.0554824677666337
"34","gpr161aab.2","gpr161a",4.282695e-10,28.23,1.770277,"gpr161aab",8.98631885024009e-08,0.00476579461665282
"35","wt.2","gpr161b",3.244399e-10,28.57,1.732865,"wt",1.22607668220752e-07,0.00264616320258089
"36","gpr161aab.2","gpr161b",4.301221e-11,31.55,1.748461,"gpr161aab",8.98631885024009e-08,0.000478641039972122
"37","wt.1","ef1a",2.642746e-07,18.56,1.934216,"wt",1.60714351146405e-07,1.64437461940941
"38","gpr161aab.1","ef1a",1.180007e-07,19.77,1.975613,"gpr161aab",6.67983493018354e-08,1.76652119750447
"39","wt.1","rpl13",9.773585e-08,20.4,1.828241,"wt",1.60714351146405e-07,0.608133930186272
"40","gpr161aab.1","rpl13",3.78135e-08,21.8,1.831534,"gpr161aab",6.67983493018354e-08,0.566084347820269
"41","wt.1","gpr161a",9.859456e-09,23.71,1.776739,"wt",1.60714351146405e-07,0.0613477012455371
"42","gpr161aab.1","gpr161a",5.913485e-10,27.76,1.798748,"gpr161aab",6.67983493018354e-08,0.0088527412156239
"43","wt.1","gpr161b",5.420021e-10,27.82,1.745242,"wt",1.60714351146405e-07,0.00337245613807229
"44","gpr161aab.1","gpr161b",1.947822e-10,29.32,1.739481,"gpr161aab",6.67983493018354e-08,0.00291597325436675
